kdrexel@xula.edu,katHARine,DreXel,eXPert
mlambo@xula.edu,michAEL,Lambo,Expert
bademail, RyaN,Merrida,unknown
jwilliams@xula.edu,Jayson,Williams,Novice
smartin@xula.edu,sAmaNtha,MarTin,Competent
djones@xula.edu,Derrick,Jones,Competent
jnovick@xula.edu,Julia,Novick,Expert
smary@xula.edu,Sidney,Competent
mkida@xula.edu,Marcel,KIDA,Novice
djohnson@xula.edu,Destiny,Johnson,unknown
ljames@xula.edu,Lebron,james,Expert
twilliams@xula.edu,Tyler,Williams,Novice
jlewis@xula.edu,Jessica,leWIs,Competent,Student
agraham@xula.edu,Aubrey,graHAm,Talented
